,Factor1
TCGA-QA-A7B7-01,-1.0353730330379822
TCGA-A5-AB3J-01,-2.287348313885137
TCGA-50-8460-01,-2.8517535761032935
TCGA-PG-A917-01,8.988146083093612
TCGA-IB-7889-01,-2.195443369297059
TCGA-EM-A3SY-01,-2.9242214119117365
TCGA-ZG-A9L1-01,-2.3975775246733995
TCGA-EX-A3L1-01,-1.996618705641898
TCGA-50-5933-01,12.869254240122038
TCGA-FT-A3EE-01,-0.11885961863387372
TCGA-IE-A4EH-01,-2.2088538067361894
TCGA-ZB-A96E-01,-3.145411965384129
TCGA-43-3394-01,2.068223727524407
TCGA-ZF-AA4T-01,-1.2709324253370275
TCGA-MQ-A6BQ-01,-3.0334429992972844
TCGA-E2-A1LH-01,-0.17424042489264957
TCGA-ET-A39P-01,-2.6405853647705353
TCGA-IB-7890-01,-0.1353797765957404
TCGA-18-3409-01,38.71417923814326
TCGA-2G-AAM4-01,-3.4561709218932606
TCGA-CJ-4899-01,-2.7540556015542093
TCGA-E7-A3X6-01,-1.2715431900512835
TCGA-5M-AAT4-01,0.896696276191306
TCGA-3H-AB3U-01,-3.11101326994227
TCGA-2H-A9GF-01,6.105328629946223
TCGA-CM-6167-01,-0.32961691527363696
TCGA-CR-7370-01,10.313217124956697
TCGA-BQ-5888-01,-3.4561709218932606
TCGA-B6-A0RH-01,-2.2699971078957497
TCGA-EL-A3ZG-01,-3.3869082808926256
TCGA-EL-A3CR-01,-2.8423882416794233
TCGA-QR-A6GY-01,-2.8337449854118755
TCGA-VD-A8KA-01,-3.4561709218932606
TCGA-YL-A8HJ-01,-1.648004418953881
TCGA-44-6774-01,4.772653215718706
TCGA-GU-A762-01,0.29508845563071107
TCGA-2Z-A9JK-01,-1.9497845238598734
TCGA-CS-5397-01,-2.0773899128904683
TCGA-AX-A3G8-01,10.801703240352783
TCGA-OR-A5K3-01,-3.2256095162232272
TCGA-BJ-A28S-01,-3.2697293376686374
TCGA-HU-A4GQ-01,17.548699846821734
TCGA-E1-5322-01,-2.4836436285878287
TCGA-73-4670-01,5.520596989637985
TCGA-ZG-A9L5-01,-0.41118753410453074
TCGA-CN-5365-01,0.0027746449343878303
TCGA-MT-A7BN-01,-0.6636352003598658
TCGA-BR-4371-01,2.477374370035665
TCGA-JW-A5VI-01,-2.1549725866217857
TCGA-XK-AAJT-01,-2.0436324534603223
TCGA-56-A4BW-01,3.012405740267399
TCGA-56-8308-01,5.160298287845057
TCGA-CV-6956-01,3.100508776979256
TCGA-DQ-5631-01,-0.8090144504831317
TCGA-85-8353-01,2.155533461702695
TCGA-BR-7716-01,1.4803269604743243
TCGA-HP-A5N0-01,0.2661687383817549
