feature,cox_mean_abs_shap,ds_mean_abs_shap,avg_importance
EXPR_PC39,0.04067548751192983,0.017057277511127063,0.028866382511528448
MUT_MUC17,0.033305678130106965,0.023378007978753945,0.028341843054430455
EXPR_PC31,0.020226375865585133,0.03626649980112348,0.02824643783335431
CNV_PC1,0.03499626134508441,0.019536713083613308,0.02726648721434886
MUT_SACS,0.025365659153474815,0.027581256587344772,0.02647345787040979
MUT_APOB,0.04048178134630627,0.010400649190031978,0.025441215268169122
MUT_AHNAK2,0.033819188436975574,0.01704930581208563,0.0254342471245306
CNV_PC7,0.012898035879129351,0.03640405181297618,0.024651043846052767
MUT_CNTNAP5,0.03479631816433399,0.014069685940230383,0.024433002052282188
MUT_COL22A1,0.040866153811216215,0.007320369084319129,0.02409326144776767
MUT_FAM135B,0.024690968612769502,0.022472562335974174,0.023581765474371838
MUT_HERC2,0.02677642808405908,0.020131683280720795,0.023454055682389938
MUT_PEG3,0.02277802276701691,0.023757368768736725,0.023267695767876816
EXPR_PC27,0.02188448664206663,0.02413916100671077,0.0230118238243887
MUT_RYR3,0.025598538045464123,0.01992763689643663,0.022763087470950377
MUT_BRAF,0.01870508340166186,0.025677052660978247,0.022191068031320052
CNV_PC22,0.009924944442539692,0.032881373088002805,0.021403158765271248
MUT_COL11A1,0.02572638773217702,0.011677904353588375,0.018702146042882697
MUT_ABCA13,0.022038223428951238,0.012149191793400385,0.01709370761117581
MUT_NF1,0.022599761944024167,0.011510968335377172,0.01705536513970067
MUT_MDN1,0.0015611862435136194,0.032379250458138116,0.016970218350825867
EXPR_PC49,0.016877168528746676,0.016897966625117243,0.01688756757693196
MUT_FLG,0.021574690940002438,0.011472964366113019,0.016523827653057727
MUT_ANK2,0.020014401413816062,0.011903152534009332,0.015958776973912698
MUT_DNAH11,0.01596171317962467,0.013517351435405372,0.014739532307515022
MUT_DNAH9,0.011102555144645976,0.01567643317713596,0.013389494160890967
MUT_NAV3,0.007876353342169955,0.018891618856988597,0.013383986099579276
MUT_PKHD1L1,0.009263136599430137,0.01573147213305831,0.012497304366244223
MUT_DNAH10,0.00896314627053653,0.01537438539907952,0.012168765834808026
MUT_XIRP2,0.004356867359224717,0.018838799139413234,0.011597833249318975
CNV_PC10,0.005264265554341633,0.01770713531737355,0.011485700435857591
MUT_KRAS,0.004842596820760079,0.01752390910586741,0.011183252963313744
MUT_GPR112,0.013406679434812833,0.008410761365170225,0.01090872039999153
MUT_SYNE2,0.01187591631797164,0.008810328159453807,0.010343122238712723
EXPR_PC20,0.00496222393036758,0.015598216701779148,0.010280220316073365
MUT_MXRA5,0.004001390690414722,0.01618937579751149,0.010095383243963106
MUT_LAMA2,0.002991093768115964,0.016987374850363893,0.009989234309239928
MUT_HMCN1,0.003272812305896547,0.009662076830347624,0.006467444568122086
MUT_IDH1,4.048982942910582e-05,0.01248551843686214,0.006263004133145623
MUT_CUBN,0.001696424741995911,0.009740646057907114,0.005718535399951512
