,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13,Factor14,Factor15,Factor16
TCGA-56-8305-01,2.251028641159502,3.9351104263905734,0.1796441093222706,3.0006390290772846,-5.132433788754728,-2.2387552391207715,2.1410784867071984,-0.0014435329481747178,0.7691511706179062,1.9937749036484975,-0.6635050746500087,-3.5993398212190018,-0.05403624914128647,1.1301093464008347,-3.92444955420258,-3.703223556821747
TCGA-4X-A9FA-01,-2.185214286333594,-0.921975796148111,-1.4883303916429431,-0.5787502687345231,0.894181038882986,-0.2971233609282021,0.4325743499170335,-0.6353392532107266,0.09671546694306585,-0.07977563644900769,-0.18535562047594498,0.2434301705786874,-0.050594284139605955,-0.40500631801625325,0.420041014916535,0.3136399856610062
TCGA-DD-AAW0-01,5.198721958028232,-0.32104142085147114,1.1476055352388401,2.3636073142449514,-3.2827559662563464,-4.375886804365468,0.9226691508387644,-0.20166892282996055,0.8359196471874097,-1.1146435521904492,-0.6746564007083763,0.3871213650520912,-0.961012397831383,-1.4138073311854369,0.8258728257275557,0.6489076180612464
TCGA-AA-3511-01,-0.9942580361000437,8.120488128547382,-1.0795614000843514,-1.088683970082107,-3.7400121128181976,-0.1523616378108253,4.72363202550736,0.11990117632649475,0.44843170169012014,-3.444869639803761,-0.43082713197810474,0.0054364285256942,0.009845302887370323,-0.6907942873500293,0.58955407419335,0.5558375316334422
TCGA-Z7-A8R5-01,-4.544813975737229,-3.2993976268104204,2.404554666839095,9.177277354162651,0.6894342772736656,0.3503377679573148,-3.481516323151264,-0.8155946822800725,0.10562217249701604,-2.673329493717348,-0.6282075775125436,0.18667994386660894,0.04992479339602536,2.3872891513608043,0.2465252346726539,0.41863740828712603
TCGA-39-5031-01,7.265066903510891,2.5497630677035796,-1.884835023576347,-2.622303397760023,-3.184203564950854,-0.16088065734651003,-3.0933806362996297,-0.2526623221536659,-0.4186591039083375,1.5345309625110184,-3.5208439036422843,0.5231934784005331,0.04745816305750574,3.31161448973682,0.8306770694330268,0.021196351017981944
TCGA-ZG-A8QW-01,-2.173185735797438,-0.8980681566779819,-1.436642769818593,-0.5871625069085805,0.8957322486877969,-0.3038466644224214,0.4328590170059355,-0.41802692472788716,0.10388838995111253,-0.08223098262303918,-0.1956913714886719,0.2430175115822382,-0.05464116227550758,-0.406077454088532,0.4219198494872907,0.3127838026793289
TCGA-DU-7302-01,-2.4253495652156376,-0.9495569153914681,-1.7441150475451312,-5.321156037404871,-0.7684763154042753,-0.2875978158049201,0.4352421422821749,-0.2364500453989379,0.06306823133677224,-0.06914265789758703,-0.10879325999045007,-3.555594792042174,0.04413108735039285,-0.255148031330588,0.27095978205431315,0.018344512465025258
TCGA-DJ-A3UX-01,-2.1731441142349315,-0.898253373857677,-1.4366935310604587,-0.5871622814727301,0.895727174804407,-0.30408740362081116,0.43287756966456375,-0.4183964250274933,0.10337100618947341,-0.08232370177596343,-0.19569748999389133,0.2430307685037922,-0.053222651703154225,-0.4063281143832872,0.4218806425281433,0.31288992191500126
TCGA-EI-6512-01,-2.172043829432884,-0.8984954778710466,-1.4365456905231917,-0.5873878946603636,0.9314454458543873,-0.3103780863975959,4.454728391174802,-0.4146836183484357,0.0946320732099694,-0.08125662990852696,-0.1911153354003719,0.20165447422456872,-0.05297980669718951,-0.4068990585511482,0.7125508927557007,0.5822316765727553
TCGA-J4-A83K-01,-2.1731441142349315,-0.898253373857677,-1.4366935310604587,-0.5871622814727301,0.895727174804407,-0.30408740362081116,0.43287756966456375,-0.4183964250274933,0.10337100618947341,-0.08232370177596343,-0.19569748999389133,0.2430307685037922,-0.053222651703154225,-0.4063281143832872,0.4218806425281433,0.31288992191500126
