,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13,Factor14,Factor15,Factor16,Factor17,Factor18
DYNC1H1,0.015366901511109669,3.7058114066253036e-07,1.050952149244775e-06,-5.540276257125214e-07,-1.0391136781159728e-05,1.8956527987060843e-06,0.00014709056537934867,0.011838869479833751,1.4580006190476367e-07,2.8215635480728856e-06,-1.5406423327572948e-06,-0.017177367633458042,-0.012625180411371664,-0.03396489581821962,-1.6489168262075631e-06,0.009153796922830906,-2.1094890791679842e-05,-1.0964333205772962e-07
NPAP1,0.022269071793095205,2.105520628601775e-08,1.06569603670543e-06,-4.62137360612468e-07,-2.3144409589887517e-06,-4.435159604698296e-05,9.161845695359782e-05,0.00755313490409191,7.939437138596074e-07,9.546206769194683e-06,7.014293421780634e-06,-0.010321574598472338,-0.014010739032293959,-0.03738129937590652,3.4137829621270254e-07,0.0015085723555760546,-6.863467711496744e-06,-7.225443900996665e-07
TAF1L,0.01732541431189685,-5.4198788630230794e-08,1.8229916125603913e-06,-1.0323021909104392e-06,-4.078998238944302e-06,5.07973523896991e-07,0.00018062046708656565,0.010518635759021582,9.957656633747995e-07,3.4194744754092117e-06,6.807622454663654e-07,-0.011937528827796012,-0.012586779158675437,-0.03252555640608685,1.5603192558629077e-07,0.00742594220377026,-1.9250299058323227e-06,1.5909716955746152e-08
ALMS1,0.02032309727554427,2.990994952096563e-08,1.6291976957694526e-08,-1.216337215439019e-06,-9.446999069269441e-06,-2.0349373290289977e-06,0.00011485476179466912,0.009683078503372439,-1.8016414836769293e-07,2.048324650326e-05,8.680371945338387e-07,-0.014262631226112958,-0.015105274623087053,-0.031295925540401004,-1.052917088936069e-07,0.008180365555301841,-8.530349094397395e-06,-1.1763582554637639e-07
PCDH10,0.022685691458008892,-2.054018835617657e-08,2.0161361998960674e-06,-1.6087761866985302e-06,-5.425155786346849e-06,-1.4455322015357267e-05,0.00019436310335748598,0.008203875900910396,1.0930881890039726e-06,1.3871329295310844e-05,-9.729414988278915e-07,-0.013603842858371996,-0.013196553642989623,-0.03972175267825836,-1.5640333246611888e-07,0.006872569100920733,8.234723141427506e-08,-2.2402364017373944e-08
COL6A6,0.019996439408786745,6.187883768259426e-08,1.067389805565735e-08,2.3917393246378334e-06,-1.240585675755095e-05,-2.622765048319211e-06,7.316443552790471e-05,0.007999523441428834,1.3747446164151463e-09,9.22041481885796e-06,1.7435791936445012e-06,-0.012417306335789875,-0.015163925248166817,-0.03153969431757455,-9.7856289999311e-07,0.007430378929528386,-7.001413782200174e-06,-1.5045385986674067e-07
FLG2,0.019787867313378893,1.5450091876129068e-09,7.030406298304224e-07,2.0556008584637357e-07,7.963315732813668e-06,-4.4278318315072424e-06,0.00016908863657690349,0.005000202238435906,6.403655332971464e-07,-8.378232537167434e-08,1.4532003147363966e-07,-0.014165891204150795,-0.015364107170704024,-0.03634794757312484,-1.5814699099363567e-07,0.007793226559424467,-4.647856133634815e-06,2.934000289439968e-10
FLNC,0.01591033840061796,9.840884678894628e-08,7.698522715084353e-07,-2.045629785207966e-06,-9.462204219539161e-06,5.98167808344074e-07,0.0006709544661646213,0.011872979007304232,5.630832187024429e-07,8.435038998719836e-06,-2.033040403651678e-07,-0.013185282874001905,-0.017346884821861735,-0.033971482999183816,-8.889388394260545e-07,0.007264451886148304,-1.4245849458454064e-05,-1.3307402520840568e-07
RP1L1,0.014522157311686611,4.1997215915357773e-07,1.486540742339067e-06,2.4900385987307576e-07,2.4057112325819783e-06,-8.247786416803415e-06,0.0006522722047630629,0.006907509731972377,1.2666438270235585e-06,3.7010423492937836e-06,-4.2443582977252435e-07,-0.011175774020045545,-0.016448229664284934,-0.04584737586551565,2.0517787082115348e-08,0.007228782732683635,-7.409241086841667e-06,-3.06790997010787e-08
MKI67,0.019702220032623376,4.356064781593258e-08,-1.6309739255176514e-07,-1.441617932370656e-06,-5.108488550107542e-06,1.5208355515159386e-06,8.557940871965502e-05,0.011762610097378489,8.698534372269463e-07,3.4450208023013315e-06,1.8793086160772302e-06,-0.013693614231513261,-0.01034581409126345,-0.030591460159308973,-1.3545015155986043e-06,0.008082906583259308,-7.5286041943006696e-06,-5.033644030138612e-08
