,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13,Factor14,Factor15,Factor16,Factor17,Factor18
BMP7,0.019721479213142393,0.0265431116793972,-0.03989720482307065,-0.12468276814709812,0.05184118374840349,-0.030660700051985443,0.010739106925667204,0.0780727851927039,-0.024785494070298016,0.02973801615792582,-0.030597880574735153,0.08306856819418246,-0.004671230831070629,0.028197183562401053,0.05506361625069312,-0.09850077289763942,0.06221959211197203,0.010955770574216145
MLC1,-0.07309162490256166,0.010169144641372769,-0.03139406676474247,-0.06578353832312225,0.06631429405556674,-0.05521085053151697,0.0682480936052027,0.05789227423519009,-0.0021581915445796564,0.024601968345018932,0.07896614715460071,-0.12958216807688874,0.025968596583936698,0.04493672637017369,0.057139996123067326,-0.06970963579046217,0.02732286426425276,0.017753764676824924
ATCAY,-0.09021528864001603,-0.004671579669398191,-0.012277446055603686,-0.052577069249476346,0.05682171155201004,-0.01688651831084647,0.02148215507924905,0.03996257572146239,-0.03024902221728642,0.010501774218717291,0.09322285974257687,-0.04211268739916076,-0.026304810960335327,0.033895072631454894,0.0664732909268027,-0.06452821872360569,0.03449858823796722,0.005268352764337431
CYP4F3,0.08354301786462101,0.016526302689711454,0.00021574069254505813,0.09565766403514021,-0.08028028139181284,-0.04824309603297496,0.01581871171629277,0.14425047849834916,0.014325725426437817,0.047154449652156746,0.05379903403984627,0.04888213352961351,0.02713258051258331,0.022580748548351928,-0.02057017266440351,-0.0025772003025803154,-0.005983141865976669,0.00187276335372149
SLC5A1,0.05766894099771567,0.004840943146363229,0.018567734892238036,0.028966800449094207,-0.07214802803912958,-0.0017613537083788597,0.11354469925205633,0.04944910510336737,0.0007923592337272714,-0.017195647325052663,-0.06433387057436545,0.0034617470233231306,0.11619875186438473,-0.004064309966014093,-0.05966999908756472,0.04403756640556396,-0.04326207573481717,-0.013833195668212636
CRP,-0.01609455446643469,-0.02229367242797678,0.028579157644203365,0.11293533371997179,-0.0419512195201892,-0.022097869306754236,-0.021447071875581744,0.06040196671085469,-0.011713138677104051,0.012614058135549715,0.12114396985136505,0.06234900654211351,-0.032711785036160665,0.025042874258507944,-0.005055847337957949,-0.025588290166092376,0.01024962087258916,0.0053914874020705595
CES1,0.06988650816425356,-0.015628820904414902,0.02120126117243877,0.09257427316461082,-0.01031728133298269,-0.027291520231131086,0.01399544204305113,-0.001246825981570045,0.05353540560027687,-0.001448575838621083,0.1337935073428159,0.14078416119018677,0.018285713276207184,-0.008113386702051662,0.036480612449018186,0.015711106898562678,0.018826521476532482,-0.010605328693509703
KCNQ2,-0.1006826088458263,-0.010560661798252458,-0.01372578148920702,-0.043586563087184525,0.04406295794791536,-0.03480127686299137,0.03303247328651177,0.04708004715046532,-0.03536102811197604,0.014959051157971987,0.07656724543031512,-0.08460664938492589,0.00038545468072468113,0.02550678687828343,0.08462203888095773,-0.07979769858899366,0.04413115481020463,0.012910854422201619
AP1M2,0.11888927111288838,0.010410712782640483,0.021457831835268004,-0.00046490404081860764,-0.011626922661889123,0.02302094397796555,0.06140256423247172,-0.04932525098501854,-0.014804384208676427,-0.038980757511214506,-0.11421858025282829,0.1459121462046418,0.09057098646719035,-0.021431192254676913,-0.09173897008356549,0.05524491059864138,-0.016123387214185877,-0.015989445989217185
ENSG00000240801,-0.018065083062381068,-0.01620629280091396,0.011584908306671627,-0.006666649181407849,0.03582430097523907,-0.013296712804018953,-0.0272664242633552,0.034627991838939186,-0.01988949315659656,0.025124195062259727,0.05087872520032287,0.05176708793842444,-0.06738917474190996,0.044007688794846206,-0.022329663432112973,-0.012563772464037502,-0.003267906065078338,0.00286300408320404
FOXA3,0.015183290267734096,0.007660926584445461,0.045182746548748244,0.11140588078099195,-0.06536519992482305,-0.0495196296603844,0.13326344943627444,0.0842795806469282,0.0001623001460338814,0.007012601093271482,0.024551674459156653,0.09276377685754196,-0.04924428521780606,-0.01977791126030494,-0.0160227370192561,-0.023818899088871536,-0.0027782248428243365,-0.009757258799446186
EPN3,0.1360707507068089,0.01411055399322585,0.016144892070874852,-0.08908898607008742,0.0492442651184597,0.00865118234636314,0.07809451727254053,0.01391728669380351,-0.06078630027193011,-0.02271078070542547,-0.04221529088622812,0.11790619663176187,0.06413972785464309,-0.02090528173053292,-0.08593731499939408,0.06697006208920477,-0.03543742468648193,-0.01736916567257685
SMOC1,-0.07220647966939557,-0.008599947744298137,0.005527491257054394,-0.0027870188511920474,0.0402693418122559,-0.03559804625196612,0.06649825405434104,0.0588747307556321,-0.020906919311413384,-0.005632766230044187,0.13753831293633645,0.0029199711927762858,-0.019618100855725167,0.04386125115211207,0.07143756684863962,-0.0672389627945968,0.05361594305362512,0.010134241042470092
SFTA2,0.036858390100862296,0.01178897364043006,0.029515608031289782,0.007634739867245536,-0.010747875716088416,-0.0645307418578746,0.09355385186872021,0.013370868329011581,0.04944024551137818,-0.0030725514367278173,-0.07424640759236063,0.10249632830595672,0.0011531243908399617,-0.06269842564073196,-0.0007772503145657307,-0.07526423534620814,0.0630974723027292,-0.003056639820586788
ATP2B2,-0.08580526058777156,-0.013988873966912445,-0.009869434966645229,0.0647029763027733,-0.025514154772645264,-0.026486859200044892,-0.01706112949224334,0.05788091918821637,-0.013390487037009383,0.02682447854482495,0.09124717116708411,-0.092640319513252,0.01926638854733562,0.05153350022686424,0.026934834564048712,-0.0546995360898038,0.031079018833050344,0.020705417805695136
KLK7,0.0692797657318125,0.026084818045338284,0.00026596877109823854,-0.05169495044941327,-0.0032502323229923,-0.0037974347898441603,-0.04985717971852772,0.09685378911467019,0.03756118288633992,0.012850180469749211,-0.05618839782729597,0.11300148370662504,0.03752516581650827,0.05633906546405702,-0.06409232440462065,-0.04100079581296714,0.05564141142011505,0.01685443061916597
IGHD,0.062152597695873536,0.0174171430065332,-0.0005441952631627345,-0.024844006472101103,0.03460288598734479,-0.03355069106901477,0.06193928734495542,-0.05569456304476023,0.1902421483735359,-0.006425969565986957,0.0032036975303194057,0.029923613858069627,0.024523211914053333,-0.02455529749877517,0.026841277070394173,0.012493627685593551,0.010934737114445984,3.95715067294996e-05
NTS,0.0814520626210902,0.02698819442421608,-0.03518447669661514,-0.0031765856347506145,-0.006738058898797546,-0.027628242462474504,-0.03522528077923853,0.025670584990082734,0.032476848071763924,0.03351138778636052,0.025108009066055773,0.023821030358930982,0.03917127680949562,-0.024182950608194507,0.010076909814084553,-0.013959770077907926,0.002163543963871493,-0.0033030625919857966
PAH,-0.046655743689379456,-0.024612784814695702,0.025971627003198192,0.14432995669527782,-0.065018493724676,-0.01857805248773248,-0.0007994485666449138,0.03796700009155596,0.012402786312669417,0.01726085313553149,0.11777369687298564,0.01926445564644106,0.018885989925038746,0.04138181342445943,0.0011244681678811333,-0.01121566080848361,0.015092840652880172,0.007417338809806898
SYT13,-0.046511163358706954,-0.00921088702701712,-0.006793378023609849,0.03522784739139951,-0.03999845889855506,-0.03128376070881288,0.14250916085764154,-0.005428906174122264,-0.025579392431345587,-0.014025658483852337,-0.06513928305922265,-0.03306085486507147,0.07607133667275982,0.04778581991575867,-0.05885921029030347,-0.05589724248502026,0.012706530349377116,0.009226560346841082
