,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13,Factor14,Factor15,Factor16
EPHB3,0.22220622666023612,0.12909446060604463,-0.1289494473294921,-0.0052631123872660755,-1.9261948751717103e-05,-0.006691712637079117,3.1845605507020266e-07,0.00013094892078595934,-0.0002245377965234944,-0.006296780210497924,0.0240702933923885,-2.4157157180210367e-07,-0.00023185172234043994,-1.2869221160325564e-06,8.766555398551613e-06,-1.8155487548555135e-05
TTC14,0.2222255726116977,0.12935816998548436,-0.12572560603689395,-0.004937351565848902,9.729742945210597e-07,-0.006716452058727339,-2.7986692736792127e-08,0.00011326088650023067,8.990489717473732e-05,-1.7684310830006089e-06,0.030705366926488373,-5.57707305093091e-07,-6.773068065225825e-05,7.392380330330341e-07,-4.995250085735596e-06,-4.924407616227832e-05
SAMD7,0.2128567105662852,0.12195083995748074,-0.11120491463835659,3.426271462080353e-05,9.199011036063856e-07,-0.0008620152640253337,-6.280463624881922e-07,0.004993122410009647,3.224311893331385e-06,0.000209689072273188,0.03684155919385468,-5.0536797788042075e-08,0.0014475094012685907,1.1096280240386049e-05,0.0001684786532685481,-0.00021679667860921174
LRRC34,0.21261180952200445,0.12186401217397703,-0.1101228987785959,4.559234344049286e-05,-5.890847974418926e-07,-0.0009452315929172261,-9.259275993942781e-07,0.00492284139704417,1.217521804835957e-05,5.4739613615779226e-05,0.036705714493597386,-6.384314927909185e-07,0.0004298497484874281,1.5067752561960528e-05,2.2300847477268043e-05,-0.00010797653931558213
LRRIQ4,0.21238939858684378,0.12186858643654717,-0.1104506687908859,4.8392493082187975e-05,-1.9175970309638086e-07,-0.0017619331961842009,-6.057797154133352e-07,0.005143343418745267,2.2293753760542383e-06,0.00011863759141128259,0.03688589979747333,-1.2080569034536441e-07,0.0004911120262444115,2.5059113178710963e-05,6.190108313715092e-05,-0.00031674923214011585
EHHADH,0.2222663631461693,0.12947023821098239,-0.12946975927487783,-0.005693790616149485,1.408950742086877e-07,-0.0076507664444799475,2.3449654144644734e-07,1.0665447459612793e-05,4.1514154407634374e-06,-0.003548639004009191,0.016000125959777355,3.409538903813918e-08,-0.00019239844823712194,-5.22751862700971e-07,2.9375281640079333e-05,-0.0002808142021567118
snoU13|ENSG00000239146.1,0.22191978818948604,0.1291931819898024,-0.12984145590430127,-0.006392616974617475,-1.0222842448998297e-07,-0.008264736407226655,2.2896803069323767e-08,1.3496580375807928e-05,9.34753324539794e-06,-0.0034784655820597737,0.014688059486832104,8.364768257498578e-08,-6.089281076920579e-06,-5.681508396010886e-07,2.9032543213988798e-05,-0.00021807675014815184
C3orf65,0.22089065866172872,0.12995948541928004,-0.13104030901088135,-0.005791011860288284,1.9551169368027876e-05,-0.008898627911997203,1.3402171150966082e-06,0.0001345701579250495,2.981727438123085e-06,-0.004731885145434569,0.00869645122558203,8.169929151032441e-07,2.1003246454470898e-05,-3.011117599047946e-06,1.128874241958101e-05,-0.0004724998115697551
BCL6,0.21844997129386812,0.12910154057139106,-0.12952098428557848,-0.007187838626096635,0.0042690812663305055,-0.011132944386199606,5.065169515303958e-06,0.0003760976798276902,-5.0142205059566665e-06,-2.2291931379115258e-06,-0.01401010697536313,5.7284510853167136e-08,0.00037900932358120515,-1.233029970144885e-06,2.5035439436907083e-05,-0.0018597169077727179
C3orf70,0.2219362110616159,0.1289921823825718,-0.12920299117689732,-0.005641319730034819,2.2516057333166951e-07,-0.007096908019777369,2.886252570342595e-07,-1.1641301745247869e-05,-3.5320330994509443e-07,-0.005357925897853327,0.01797408794399252,-2.3604501867913846e-06,-0.00038191077012139104,2.8524033188906327e-07,4.3699291415234455e-05,-0.00016236833577319744
GHSR,0.2156859435629168,0.12493580391834093,-0.1148355543261613,-2.823826879160057e-05,4.1942262724706556e-06,-0.0019186195228233073,-1.200441508325244e-06,0.004327935324022072,0.00014496072161702627,5.097391703744272e-05,0.0359104904507944,-3.1136011786472526e-06,0.000747203439860098,1.7353307821104925e-06,-3.6298261778934795e-06,-0.0012816392057614463
TERC,0.21200689608901277,0.12203228440145593,-0.10974418375406514,8.003879467361551e-05,-6.955289213441069e-07,-0.0009078905767326561,-8.830763551808536e-07,0.003734474022768888,2.377972443780482e-05,3.943950974945455e-05,0.03673742002493111,-8.978807736904852e-07,0.00031772005149440256,7.90103190795189e-06,6.653927507074291e-06,-0.00012744588897372944
KNG1,0.21986482831416032,0.12905562094066195,-0.13061450206224837,-0.007100527581121495,4.470953321454484e-06,-0.010555732825818382,3.913446747239932e-07,0.00092515040056741,2.8588657814790684e-06,-3.713022124146186e-05,-1.4841130826001707e-05,1.8575559146123883e-07,3.5615167110164875e-05,-3.259622351699136e-06,-4.576924562071868e-06,-0.0004637218486196172
SKIL,0.21321636699532753,0.12260835805692863,-0.1120743768908234,3.0313378183413604e-05,1.6745333754510634e-05,-0.000594273774022484,-2.3111270485973373e-07,0.004315166617105208,1.1247467399362662e-05,5.583310903333239e-05,0.03794587104681833,-3.0030303975282935e-06,0.0034764691004115166,2.0482051136622356e-05,9.865906299338506e-05,-4.299473026759973e-05
MASP1,0.21888072266552677,0.12992746702856167,-0.13025171274224548,-0.007477251213150617,0.003424445782190565,-0.010233667029026772,1.9504029258048283e-05,0.0010668351121571496,-7.208712106543472e-06,-3.848490091733975e-06,-0.006200181857145485,2.7803001032818127e-07,1.049473198967607e-05,-1.1812145494617462e-05,2.5371471870313594e-05,-0.00022400270339926174
MAGEF1,0.22255593668684484,0.12919047432347097,-0.12852113296722173,-0.00519661011319619,-5.676831770746656e-07,-0.0068850087987467855,-8.473567308437637e-09,6.563137958657399e-05,-6.467245027911466e-05,-0.005199590378565624,0.02367369738266916,-1.7432610257701644e-07,-0.00108555167424951,6.280172798567802e-08,2.1371860393381344e-05,-2.933854055157165e-05
SLC7A14,0.21332393681517112,0.12343471584054785,-0.11278591017129865,-9.135852490941691e-06,1.592905417806812e-05,-0.0006399551215195378,-6.656805244810291e-07,0.0029830704270123,-1.1824469145060888e-05,0.0001843762659813831,0.03749293935025918,-1.2645294922734883e-07,0.002057840888209894,2.207795228680141e-05,8.95018533666257e-05,-4.80753602299562e-05
RTP4,0.21856752967514434,0.12977810373045967,-0.129685808963459,-0.007519904589734513,0.0031993991622564955,-0.010923725962718015,5.8588392062998734e-05,0.0002802068579946367,-1.4723527990996022e-05,-2.5566428575671055e-05,-0.008729316096104634,-4.0481604223779183e-07,3.400098552436495e-05,-1.5851913505284576e-06,4.896779454080765e-06,-4.810033292098857e-05
EIF4A2,0.21964341656524367,0.12951546971588404,-0.1306519051068772,-0.007537102481706575,1.7572108141178443e-05,-0.010126088037319297,2.6864978179627457e-06,0.0014251543571892325,3.2726464010330956e-06,-1.2687775488386955e-05,-0.0008567482892179772,7.957601560350948e-08,2.045552893941875e-05,-1.9677298813238534e-06,-1.9865827819973024e-06,-0.0003838833463802746
PLD1,0.21567055373364477,0.12396312155449964,-0.11462369788976835,-1.87144030115919e-05,1.6624639423723968e-06,-0.0025858673609032014,7.068613034792349e-08,0.004865084703766528,6.072061088120923e-05,8.838568576546009e-05,0.03702867569412698,-1.4345482431882943e-06,0.00017441002020506706,6.614000427582007e-06,-1.5738536996759482e-05,-0.00017094989249892467
RPL39L,0.2188517486634028,0.13007976941563631,-0.13069520157003833,-0.007680256790839987,0.00344281642905973,-0.009831027633335855,3.061152194633328e-05,0.0016110898414589587,-8.845066963919369e-06,-3.2683160054321575e-06,-0.005867441455045713,-4.3572643826889505e-07,1.0280527029147472e-05,-2.5268098505661414e-05,1.689755768275041e-05,-0.0003407496014935714
RFC4,0.2196932168491035,0.12968854337774519,-0.1308864427644491,-0.007369169818994785,3.301735171043844e-05,-0.010114614703218082,2.428226963712472e-06,0.001565326929104054,3.228681190895909e-06,-1.7553941984611112e-05,-0.0008539055886470398,5.310681190887787e-08,2.4433157321861225e-05,-1.2892902361667787e-06,-2.7119784349981965e-06,-0.0004227243434731746
snoU13|ENSG00000239093.1,0.21853445405119296,0.1298303085508325,-0.12995487401915173,-0.007379959006738445,0.003173057639112823,-0.011609597018401236,2.819851867086247e-05,0.00020596436540578386,-1.2573685991364988e-05,-0.00011946751946778895,-0.00918742466497855,-3.4605318840289323e-06,0.00011094506994515904,-4.387733165591431e-06,2.836700622395852e-06,-2.7196695287521258e-05
RTP1,0.21910216344243438,0.12998073046779385,-0.13053816765120108,-0.007550158487282429,0.0032451519700307427,-0.010045084778270605,5.3900364327073585e-05,0.0015219187426077836,-7.918240047878999e-06,-3.836223377547766e-06,-0.005991410696208736,2.7709076539014186e-07,7.882074106358291e-06,-2.8554479381975835e-05,1.4350021721285549e-05,-0.0006377991212523862
SNORA4|ENSG00000263776.1,0.21976430417575163,0.12962179417988695,-0.1309258481164048,-0.007429797909547405,2.4459645181077204e-05,-0.010120116654059185,2.401895769375696e-06,0.001567549924070623,3.1903858840021544e-06,-1.7624217190827276e-05,-0.0008923943338431871,3.971293671433032e-08,2.3868273544029722e-05,-1.5316368795753087e-06,-3.0419397167676483e-06,-0.00045284644375398014
SNORA63|ENSG00000200320.1,0.21976430417575163,0.12962179417988695,-0.1309258481164048,-0.007429797909547405,2.4459645181077204e-05,-0.010120116654059185,2.401895769375696e-06,0.001567549924070623,3.1903858840021544e-06,-1.7624217190827276e-05,-0.0008923943338431871,3.971293671433032e-08,2.3868273544029722e-05,-1.5316368795753087e-06,-3.0419397167676483e-06,-0.00045284644375398014
SNORA63|ENSG00000200418.1,0.21976430417575163,0.12962179417988695,-0.1309258481164048,-0.007429797909547405,2.4459645181077204e-05,-0.010120116654059185,2.401895769375696e-06,0.001567549924070623,3.1903858840021544e-06,-1.7624217190827276e-05,-0.0008923943338431871,3.971293671433032e-08,2.3868273544029722e-05,-1.5316368795753087e-06,-3.0419397167676483e-06,-0.00045284644375398014
SNORA81|ENSG00000221420.2,0.21976430417575163,0.12962179417988695,-0.1309258481164048,-0.007429797909547405,2.4459645181077204e-05,-0.010120116654059185,2.401895769375696e-06,0.001567549924070623,3.1903858840021544e-06,-1.7624217190827276e-05,-0.0008923943338431871,3.971293671433032e-08,2.3868273544029722e-05,-1.5316368795753087e-06,-3.0419397167676483e-06,-0.00045284644375398014
ADIPOQ,0.2198451921311118,0.1295664999022184,-0.13065045860561442,-0.007268036094383106,0.00013338396826199548,-0.010257960875310166,7.848886203519085e-06,0.0012241394577321935,3.2893667321410926e-06,-2.057668461521872e-05,-6.14955161398641e-05,-2.1739744204520435e-08,1.6024650385779244e-05,-1.321168279342134e-06,3.681837335505478e-06,-0.00020570761898567106
