gene,modality,total_contrib,max_contrib,n_factors,directions,role,pathway,tx_mechanism,actionable
RHCG,expression,0.036653142033917105,0.036653142033917105,1,up,Unknown,Unknown,Under investigation,Partial
HSD17B2,expression,0.036599450555143485,0.036599450555143485,1,up,Unknown,Unknown,Under investigation,Partial
S100A14,expression,0.035703590053776615,0.020072811498381513,2,"down,up",Unknown,Calcium/epithelial,Under investigation,Partial
PIK3CA,expression,0.03535690789916877,0.016352403459071442,5,"up,down",Oncogene,PI3K-AKT,Alpelisib (PIK3CA-mut breast); pan-PI3K inhibitors (idelalisib).,Yes
MUC16,expression,0.03105583872958003,0.013691189245587286,4,"up,down",Unknown,Unknown,Under investigation,Partial
SFN,expression,0.029776803861338512,0.029776803861338512,1,up,Unknown,Stratifin/14-3-3,14-3-3σ upregulation in luminal tumors; indirect via cell cycle checkpoint.,Partial
LYPD3,expression,0.027947052425024873,0.027947052425024873,1,up,Unknown,Unknown,Under investigation,Partial
IQANK1,expression,0.02755757407796219,0.02755757407796219,1,up,Unknown,Unknown,Under investigation,Partial
CSTA,expression,0.027355488195428657,0.027355488195428657,1,up,Unknown,Unknown,Under investigation,Partial
RHOV,expression,0.027245525030630217,0.027245525030630217,1,up,Unknown,Unknown,Under investigation,Partial
KRT17,expression,0.027173886794956532,0.027173886794956532,1,up,Unknown,Epithelial differentiation,Under investigation,Partial
NECTIN4,expression,0.02665711983967169,0.02665711983967169,1,up,Unknown,Unknown,Under investigation,Partial
KRT15,expression,0.02653644799620844,0.02653644799620844,1,up,Unknown,Epithelial differentiation,Under investigation,Partial
SYNE1,expression,0.026422688144592622,0.013042476704889217,4,"up,down",Unknown,Unknown,Under investigation,Partial
DUOX2,expression,0.0262956473451303,0.0262956473451303,1,up,Unknown,Unknown,Under investigation,Partial
LINC00441,expression,0.02621358656130072,0.02621358656130072,1,up,Unknown,Unknown,Under investigation,Partial
GJB2,expression,0.02614910893955371,0.02614910893955371,1,up,Unknown,Unknown,Under investigation,Partial
RCBTB2,expression,0.025843545201694195,0.025843545201694195,1,up,Unknown,Unknown,Under investigation,Partial
FXYD3,expression,0.025802797611646926,0.025802797611646926,1,up,Unknown,Unknown,Under investigation,Partial
