gene,abs_weight,raw_weight,direction,modality,factor,factor_avg_shap,gene_shap_contrib
MUC16,0.0001239267174061,-0.0001239267174061,down,expression,Factor6,0.2193709009714754,2.7185915651813582e-05
PIK3CA,0.0001194829751501,0.0001194829751501,up,expression,Factor6,0.2193709009714754,2.6211087909429844e-05
ATRX,0.0001090189625166,-0.0001090189625166,down,expression,Factor6,0.2193709009714754,2.3915588030242047e-05
USH2A,9.17085521299628e-05,-9.17085521299628e-05,down,expression,Factor6,0.2193709009714754,2.011818770753946e-05
CDKN2A,5.966734783555415e-05,-5.966734783555415e-05,down,expression,Factor6,0.2193709009714754,1.3089279853263928e-05
APOB,5.597856713855641e-05,-5.597856713855641e-05,down,expression,Factor6,0.2193709009714754,1.2280068708277346e-05
CSMD1,5.0669706474095525e-05,-5.0669706474095525e-05,down,expression,Factor6,0.2193709009714754,1.1115459161182537e-05
CNTNAP5,4.831771779007152e-05,-4.831771779007152e-05,down,expression,Factor6,0.2193709009714754,1.0599501284493475e-05
PCLO,4.781935334217391e-05,-4.781935334217391e-05,down,expression,Factor6,0.2193709009714754,1.0490174626546025e-05
NPAP1,4.435159604698296e-05,-4.435159604698296e-05,down,expression,Factor6,0.2193709009714754,9.72944958434958e-06
COL11A1,3.988432333736286e-05,-3.988432333736286e-05,down,expression,Factor6,0.2193709009714754,8.749459945154934e-06
DNAH9,3.567848878720899e-05,-3.567848878720899e-05,down,expression,Factor6,0.2193709009714754,7.82682223055072e-06
SYNE1,3.5152644721751184e-05,-3.5152644721751184e-05,down,expression,Factor6,0.2193709009714754,7.711467344140737e-06
RLN2,0.2929443634711874,0.2929443634711874,up,expression,Factor6,0.2193709009714754,0.06426346894918974
RLN1,0.2929443634711874,0.2929443634711874,up,expression,Factor6,0.2193709009714754,0.06426346894918974
INSL4,0.2925656683060799,0.2925656683060799,up,expression,Factor6,0.2193709009714754,0.06418039424962657
PDCD1LG2,0.2923052481554079,0.2923052481554079,up,expression,Factor6,0.2193709009714754,0.06412326564654254
CD274,0.2922816809963986,0.2922816809963986,up,expression,Factor6,0.2193709009714754,0.06411809569763732
RCL1,0.2918396422934432,0.2918396422934432,up,expression,Factor6,0.2193709009714754,0.06402112526910574
PLGRKT,0.2918321533936442,0.2918321533936442,up,expression,Factor6,0.2193709009714754,0.06401948242240954
JAK2,0.2912648584293105,0.2912648584293105,up,expression,Factor6,0.2193709009714754,0.06389503441496708
KIAA1432,0.291249647575275,0.291249647575275,up,expression,Factor6,0.2193709009714754,0.06389169759621276
KIAA2026,0.2910991683646124,0.2910991683646124,up,expression,Factor6,0.2193709009714754,0.06385868683619224
IL33,0.291035419594332,0.291035419594332,up,expression,Factor6,0.2193709009714754,0.06384470221102
GLDC,0.2909604684705707,0.2909604684705707,up,expression,Factor6,0.2193709009714754,0.06382826011547166
RN7SL25P,0.2909604684705707,0.2909604684705707,up,expression,Factor6,0.2193709009714754,0.06382826011547166
snoU13|ENSG00000252110.1,0.2909604684705707,0.2909604684705707,up,expression,Factor6,0.2193709009714754,0.06382826011547166
UHRF2,0.2909604684705707,0.2909604684705707,up,expression,Factor6,0.2193709009714754,0.06382826011547166
TPD52L3,0.2909604684705707,0.2909604684705707,up,expression,Factor6,0.2193709009714754,0.06382826011547166
RN7SL123P,0.2909604684705707,0.2909604684705707,up,expression,Factor6,0.2193709009714754,0.06382826011547166
C9orf38,0.2909604684705707,0.2909604684705707,up,expression,Factor6,0.2193709009714754,0.06382826011547166
AK3,0.2909111139855095,0.2909111139855095,up,expression,Factor6,0.2193709009714754,0.0638174331776168
PPAPDC2,0.2905648075659494,0.2905648075659494,up,expression,Factor6,0.2193709009714754,0.0637414636263457
CDC37L1,0.2904598673970923,0.2904598673970923,up,expression,Factor6,0.2193709009714754,0.0637184428069554
SLC1A1,0.2900695070663967,0.2900695070663967,up,expression,Factor6,0.2193709009714754,0.06363280910950721
SPATA6L,0.2897641112153027,0.2897641112153027,up,expression,Factor6,0.2193709009714754,0.06356581414649976
KDM4C,0.2891896808300181,0.2891896808300181,up,expression,Factor6,0.2193709009714754,0.06343980083533449
GLIS3,0.2839712701552443,0.2839712701552443,up,expression,Factor6,0.2193709009714754,0.06229503338397019
SFN,0.1833728670980197,0.1833728670980197,up,expression,Factor1,0.16238391389398787,0.029776803861338512
LYPD3,0.1721048086282122,0.1721048086282122,up,expression,Factor1,0.16238391389398787,0.027947052425024873
LAD1,0.1708482906743608,0.1708482906743608,up,expression,Factor1,0.16238391389398787,0.027743014121800417
IQANK1,0.1697063053668796,0.1697063053668796,up,expression,Factor1,0.16238391389398787,0.02755757407796219
CSTA,0.1684618108988779,0.1684618108988779,up,expression,Factor1,0.16238391389398787,0.027355488195428657
RHOV,0.1677846307388392,0.1677846307388392,up,expression,Factor1,0.16238391389398787,0.027245525030630217
KRT17,0.1673434648994664,0.1673434648994664,up,expression,Factor1,0.16238391389398787,0.027173886794956532
KRT16,0.1666411372968304,0.1666411372968304,up,expression,Factor1,0.16238391389398787,0.027059840090004717
NECTIN4,0.1641610871448434,0.1641610871448434,up,expression,Factor1,0.16238391389398787,0.02665711983967169
KRT15,0.1634179603130685,0.1634179603130685,up,expression,Factor1,0.16238391389398787,0.02653644799620844
GJB2,0.1610326313271715,0.1610326313271715,up,expression,Factor1,0.16238391389398787,0.02614910893955371
FXYD3,0.1588999611654406,0.1588999611654406,up,expression,Factor1,0.16238391389398787,0.025802797611646926
TMEM40,0.1576878046913488,0.1576878046913488,up,expression,Factor1,0.16238391389398787,0.02560596289913196
TP63,0.1570835966872938,0.1570835966872938,up,expression,Factor1,0.16238391389398787,0.025507849238627436
PKP3,0.1567009883019632,0.1567009883019632,up,expression,Factor1,0.16238391389398787,0.025445719791528792
KRT6A,0.1565522624212552,0.1565522624212552,up,expression,Factor1,0.16238391389398787,0.0254215691009221
HCAR2,0.1558089007047838,0.1558089007047838,up,expression,Factor1,0.16238391389398787,0.025300859115962516
TRIM29,0.1557010892622979,0.1557010892622979,up,expression,Factor1,0.16238391389398787,0.025283352271969102
S100A2,0.1554607478403891,0.1554607478403891,up,expression,Factor1,0.16238391389398787,0.025244324691208707
S100A9,0.1545484876959597,0.1545484876959597,up,expression,Factor1,0.16238391389398787,0.025096188318466762
PKP1,0.1532694610368995,0.1532694610368995,up,expression,Factor1,0.16238391389398787,0.02488849496359382
KRT5,0.1525693116400501,0.1525693116400501,up,expression,Factor1,0.16238391389398787,0.0247748019642229
TACSTD2,0.1521315565197693,0.1521315565197693,up,expression,Factor1,0.16238391389398787,0.02470371757446457
GJB3,0.1510984978165984,0.1510984978165984,up,expression,Factor1,0.16238391389398787,0.024535965458961428
