,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13,Factor14,Factor15,Factor16,Factor17,Factor18
GOT1L1,-0.023819597919842898,0.17078756799351452,-9.145415055444693e-05,-0.008847043767328738,0.012547380771386549,-4.4401668904081996e-05,0.017178081332549163,-0.07521477532665344,-0.039011433843592624,0.20967324278779903,0.014555662387376407,0.02590895136324424,0.024490024761210726,0.0035963426021386733,-0.0017150936031927987,0.013318993102998743,-0.023518271861635,0.017308849026296487
TACC1,-0.014328853759353884,0.16722043930818897,5.975724065550153e-05,-0.007489024554354216,0.011851233578019907,-0.00030310830864216766,0.01783327949442348,-0.07809574544868757,-0.03875314975284583,0.2282979122883307,0.010009446194250815,0.028806581481322903,0.025219442018550885,0.0033760336006861905,-0.0006223080178910779,0.007612208000670606,-0.022377759843305436,0.02597946979917089
RN7SL709P,-0.02486713165655196,0.1719739280777406,-0.00017897233305395928,-0.008635839298167606,0.013517835754457417,-5.580100106118255e-05,0.017746354049957763,-0.07462139892997804,-0.0388322090021005,0.20682381612260628,0.01437431209091402,0.02510708221742685,0.024197766878422584,0.0028289560897886952,-0.0014491510430336338,0.013758329691713962,-0.023555097479276067,0.01653759465427693
PLEKHA2,-0.01458094009510683,0.16840336268749656,5.310258105014083e-05,-0.006221660640498988,0.012113728107671433,-0.0003498171672639885,0.017218619788999637,-0.07734509523470195,-0.04020510306083569,0.2281573906949303,0.009505632802183417,0.029592665784289072,0.024419819439019413,0.0010407267337748337,0.0001146209954249764,0.005368717470716161,-0.022141304821461368,0.0259569614003124
ADAM9,-0.01576589075986823,0.16792305217013087,0.002364779444410318,-0.006545228142934204,0.011778178817727214,-0.002155582657490823,0.01748455828972156,-0.076920294335384,-0.0386974573164733,0.22889301729289419,0.008023946740129012,0.03019347985770207,0.02445102737808957,0.0005230480929049612,0.0002764420454669414,0.005081873848459501,-0.02084178056878524,0.028467080429753423
KCNU1,-0.04812853825000552,0.1815381993353731,-0.005609527232429969,-0.007669821264786911,0.008400512087121477,3.0064680136437223e-05,0.011357093839496624,-0.055698050620827555,-0.03376713536275995,0.1624307719851593,0.010858676669307971,0.020580449312216614,0.01916953198039862,0.0012569292101775936,0.0014465612963278148,0.012566049016997203,-0.01987096020116072,-0.00010948615696070221
ADAM32,-0.015834243885949582,0.1684814841711489,0.002183316388153561,-0.005887970655254464,0.011754151462091907,-0.0027253962562571706,0.016612461587120046,-0.07757163863608418,-0.039172271870890764,0.2281765142178336,0.008828970008143243,0.030415190794357498,0.02432964483507863,0.00048257275101064035,0.00038762842254907044,0.004784315940903905,-0.02032608947069248,0.027887622816640322
HTRA4,-0.015738387277408908,0.16920553720389034,0.0006180129840118,-0.006139711710102237,0.012265346517699569,-0.0008137100845670922,0.017079427720196747,-0.07672392175983625,-0.03943450802239596,0.2276619117372046,0.008749302282765358,0.030334176513580186,0.02495631573032627,0.000934746339801186,0.00036305938079454785,0.0049984221741517475,-0.0221821180389469,0.026046253755611887
TM2D2,-0.015953132546096486,0.1693055767541995,0.0011824699582287086,-0.006326789776583375,0.012278382543405705,-0.0006885954546709221,0.01711963942162955,-0.07647214867901592,-0.039237462191407356,0.22698633577769117,0.008990757618183671,0.030573963067543362,0.024817635173138154,0.0003579464558011871,0.000550687987354162,0.005090407107389954,-0.02215207549482993,0.02781863383057055
SNORD38|ENSG00000207199.1,-0.01581697761607793,0.16976192766158027,0.0013971481681699417,-0.006514478044609259,0.011703642334763618,-0.0016258515367692152,0.017188705772139115,-0.07607270170910965,-0.03866929315850098,0.2271990497944751,0.008859351237771311,0.031007859369742426,0.02520795469049388,0.0004359783322665374,0.0010550121620439116,0.004676662011399257,-0.022803958501655508,0.027104318944674393
