,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13,Factor14,Factor15,Factor16,Factor17,Factor18
S100A14,0.28619094990825084,-0.0251993751373054,-0.040924296032802794,0.009940764411999472,-0.015421193574183542,-0.02572113130858388,0.12340048755467617,-0.012755830327255697,0.12381391637711753,-0.032462530908899556,-0.057258346465650346,0.043237383400239124,0.003071108050884195,-0.03016422850197513,-3.7284019524210898e-06,0.01551573636031686,0.030442568097563665,0.10718868449807287
MUC5B,0.15068808667671518,0.053842548400757834,0.10081935397062844,0.08951979319582504,-0.02240340602682185,0.00010441175195259996,0.044814123432719885,-0.06372510937537718,0.08699468070648837,0.08131359439581509,0.061638326669945266,-0.048556144971663495,-0.0256173099167499,-0.033205943626252045,-0.04532692740089649,0.10925766905789333,0.04675949293339214,-0.015959824347518043
TMPRSS4,0.25035797407406757,-0.06254549242850323,2.7744869246191845e-05,0.11048540118456888,-0.029903355503013197,-0.1012093182664228,0.12066981229281046,-0.05588837432044501,-0.012849212606050275,0.017481598075686368,0.02931410119909814,0.04146166766398483,0.025074222618051017,-1.0448340745708846e-05,0.0301969783361071,-0.03210162279609574,0.021440284044995907,-0.05724786682047302
ALDOB,-0.032193460418735526,0.25841421551475946,-0.05441163573937414,0.1732441087218246,-0.011821727285053854,0.019894169471542773,5.145720522569361e-05,-5.322397279007849e-05,-4.221346780284826e-05,-0.059193996839979744,-0.00011125413843683806,-0.0190451086478506,-0.05205971702256687,0.016348974332535824,0.021126850030704535,0.006444934524385933,-4.64375063555636e-05,0.010961796617933978
HMGCS2,0.03380710705774587,0.18618415479906886,0.0332450246566583,0.0646359253467323,-0.15437258297137835,0.0887038355970515,-0.033516166298858535,0.0007873663852303864,-0.030868355391128387,-0.07057057154258548,-0.04620607915791862,0.04469350948299827,-0.05856710743743129,0.08941380752388288,0.12921805855458945,-0.04057714527891285,0.030114864251798573,0.000812875710431878
SMIM22,0.2245731721123939,0.008766286817438783,0.15031498508400687,0.021968433421965885,-0.15022043162549673,-0.004547985348836291,0.012559081580483137,0.011499460925101984,0.08930929008445618,0.11271601419006293,0.00036087391705497194,0.07552623779474714,0.0033014172908889076,0.03302109036698578,-1.1569711929897808e-05,-0.016840253375171917,0.045762870983287005,0.0006872012550878305
HP,-0.011316579142489713,0.12522140002058985,-0.05284983771240682,0.09379292680471366,0.06616981335310235,0.20081285881365707,0.12904997462241483,0.03565076381257805,0.019464742686336786,0.07762154759446711,0.03618143705984308,-0.10698864543502005,0.062081299415740504,-0.029207579635950342,-0.010081037484449653,-8.000397239643917e-05,0.06251274564974552,-0.019630098548055627
PTPRZ1,-0.09069905675344886,-0.22061520185270106,-0.03513375089941296,0.18466787858873251,0.025312068550908822,-9.39612529994292e-05,0.013925801646637415,0.0721503675976713,0.000187351945448775,0.030532052127494956,-0.04106919127660811,-0.06180448359238189,-0.000297792937579608,-0.05994522249787098,0.03075457094700362,0.05932352408439402,-0.0006047808551651118,-0.00023653326070084338
LGALS4,0.07601958200395556,0.21124892199719117,0.05445827682643742,0.21307868625129725,-0.08257679286707073,-0.05884651497116312,0.026319242847608455,-0.08880567309075138,-0.023618586966047263,-0.05847586186728056,-0.01973074209870082,-0.020091425422844637,0.013436812218399978,0.029311145142357446,0.06418585810020457,-6.61592762560061e-05,0.025812395535546727,0.05478827072988273
IGHG4,0.2678210044084448,-0.0069661381864923235,0.06811567684019663,0.02826681038668193,0.14029665380859507,0.060875934197377364,-0.030034437818956795,-0.03132834029937943,-0.01853508756478638,-0.04246600124178184,-0.010494472082495215,0.022175610987122098,0.011694155231468014,0.008732491420726459,-0.02113688184873715,-0.03210603170730333,0.06224802238283649,0.0014848102024629752
CTSE,0.11004130696513786,0.06238216083108635,0.11875871693505792,0.11158588842090507,0.05116685905300311,-0.0790476177420178,0.1546926855070906,-0.07013346458602158,-0.04040422877812781,0.07099897013263862,0.10761095835688692,-0.07025678275420197,-0.03200943641681967,0.11772536563318531,0.038776296419532445,0.02055507445411989,-0.05870444066263609,0.06383604645179525
PPP1R1B,0.02104805424132582,-0.048506017865776144,0.2586950734443109,0.08337032238636072,-0.1309355920678844,-0.02206254229692172,0.05164333576910776,-0.023560797385601247,-0.00022301371056234913,-6.347490187502707e-05,-0.02094261934570256,0.02070784912985102,0.028357501504666337,-0.05042528342984465,-0.014397657651392093,-0.002096874823252704,0.08218037158365885,-0.01106682643708395
HNF4A,0.011398657742251116,0.2571279029850692,0.009601693194471602,0.1405324761979015,-0.016627626453792715,-0.07174735331198819,-0.019409286673524494,-0.027477444432665112,-5.457206923386581e-05,-0.10441123581410908,-0.02230915682771436,-4.588645187051086e-05,-0.0006165709725929709,-0.03477714270311376,-0.0004904475775024852,0.00015410662594605095,-0.0015920187672328167,0.03426661242136575
IGLC2,0.2752969221426419,0.015596990366295646,0.07860701944444011,0.027388937806835954,0.1515850414484474,0.06454996377034421,-0.052881879480118715,-0.01508957936701772,-0.03647594807122759,-0.022905633408083326,0.00014839352089661775,0.04080287012830399,0.023362247184194634,0.016522661384674862,-0.027754133628846465,-0.016164789065232638,0.09898762930315663,0.010796874375555918
GSTM1,-3.8021113510561635e-05,-5.781534924094295e-07,-0.004435812565299425,0.00014216232727251598,0.0005946100571124393,0.0029467931108580277,-9.897315324309117e-05,0.01648624867563598,0.02462328823281712,-0.0016479521327701244,-0.0015155430168905357,0.0013655439843026653,-0.00041721175035174923,0.02596666079795409,0.06027107165887172,0.01002835821467445,0.03372095002964362,-0.008597898666420876
SPRR1B,0.1585218291101759,-0.16755121480055887,-0.20287284968686575,0.11199152131683103,0.011686386188172226,-0.014491971091552444,0.016211754383568484,0.04637326901568895,-0.020508902027752778,-0.028974150873054418,0.02903423146749819,-0.015378705817603281,-0.07452498374823224,-0.021288952400012894,-0.022775128521977786,0.01617088571269236,0.00012595738369544467,-0.06347600569253957
IGKC,0.2756819490452599,0.013032759303967132,0.08257360175100831,0.026516021286563378,0.15360294703849162,0.06492511701592324,-0.05102814653378024,-0.016634899615203314,-0.0332404230209005,-0.027323348935409074,-0.006649634551263785,0.039785924313477085,0.020490013230873235,0.014454716381287877,-0.026524092597605516,-0.02302969033654212,0.1048776947714388,0.011681936205662522
IGHG3,0.2608822470368713,2.0443372560066663e-05,0.07498452623738007,0.017770281103744862,0.16001373135336514,0.07404325283325051,-0.05191534532037417,-0.011572512704705426,-0.052575303508422176,-0.015006414913662613,0.003707822130610933,0.04228592180654622,0.03039408346187487,4.821533243646941e-05,-0.02532309534712523,-0.040917486405996524,0.07673153828043203,-1.4130040063413553e-05
SLC44A4,0.18609174145041124,0.10239699497739961,0.19330631129510942,-0.007924070436359317,-0.13609925163407885,-0.05434754683927861,-0.0317660627097849,0.10602505464569581,0.01180844045625911,0.05770235747023087,0.056305102780220107,0.03349365035120538,-0.061602458135740626,0.00022568029315183247,0.01688691732862928,0.020063182602152712,0.025754987610556074,-0.013150258506381657
PGC,0.09880622680921076,0.06778995746096013,0.12977761292119253,0.07168467659402615,-0.06391744787619365,0.03914420298630578,0.08262400576783988,0.025534788118839868,-0.12358098164096798,0.08261526439928576,0.0922618736782077,-0.09722686579135816,-0.05042780364919079,-0.0001659415184635619,-0.014106831742675387,0.06016354173411348,-0.028151865079976253,0.017130784228817867
TP63,0.2060031514800397,-0.19866778909741892,-0.1116095977117137,-3.580910499331387e-05,-0.020785841654543086,0.0660672571818429,0.012107753215768468,0.08907290617030396,-0.03392187730390655,-0.029663278439618263,0.02014692922206829,-0.03170171905830595,-0.01204729847784818,1.1211073794717095e-05,0.12524567611307214,0.01017153311170993,-0.00015798714181199745,0.09328332576729424
KLK2,-0.02989602802649918,-0.0037947379906748636,0.08574180115599002,-0.08567972311778455,-0.1705036835706074,0.07557757567969217,-0.024081351907583995,0.14607788583023787,-0.25007482935450687,-0.0256085437122902,-0.0271599925188358,-0.02129204510535304,-0.00014501136459398072,0.0002734027529516161,-0.0749793667457433,-0.024533482906441362,-0.028712128868926233,-0.007377194453503959
COL17A1,0.24203106298006435,-0.1209610006305264,-0.03915537084082581,0.05834536559504872,-0.04632441713904812,-0.04393872862353491,0.030722239978566237,0.005942590172659827,-0.012346344460697118,-0.07841052968944599,-0.000147756189417142,-0.03421670675592755,0.01582915772709101,-0.04571857477746944,-0.0080784801017549,0.023970106893607325,0.008657507530864547,0.17526774408755907
MIR9-1HG,-0.21883794628990094,-0.1344158346607619,0.06103339303875253,0.14362671250335585,0.04758881244443368,0.00014238979923627052,0.026710996930455127,0.01933738510784627,0.03678555852897999,0.08301077935160858,-0.12603905329444276,-0.03273158960214746,0.05146128956743327,0.007693648720122641,0.0011675962258894217,-0.04967221384092621,0.018800181754070704,-0.00036713295068641825
