,Factor1
ASXL3,0.046730266815618815
MYH1,0.04302779544926329
CMYA5,0.051296139294453404
BRINP3,0.0399869232451313
UTRN,0.0478874384677667
ANKRD30A,0.03550729623324452
ASTN1,0.04258959246283127
CTNNA2,0.041260006097161996
FBN3,0.03980719033151269
VPS13D,0.048599981985982955
ZNF208,0.04002626140246971
KALRN,0.05164694701627551
TMEM132D,0.03738037123376136
CHD7,0.044695269393494566
MYO18B,0.0481057253236935
ADAMTS20,0.042986136815305
EPHA5,0.044202533382200884
PTPRT,0.038670708166089474
ZAN,0.0473904940437824
FRY,0.0470710474965389
HSPG2,0.04136708977067637
DIDO1,0.04766242572734175
SMARCA4,0.031577089512350304
SPEN,0.04674102689475596
THSD7A,0.0441408263843146
ADAMTS16,0.04181842412995951
PREX2,0.03842698691302588
BSN,0.05023224310245482
FBN1,0.04545210544881786
KMT2B,0.04679365948044782
MAGEC1,0.03866396450298603
TENM2,0.04580933479329836
DYSF,0.05006037392688151
OTOGL,0.04634513994045351
DCDC1,0.041650243474758535
NSD1,0.04179362224609857
SPATA31D1,0.037389990972704054
CACNA1C,0.04471911635977641
CTNND2,0.03857782995828845
DCHS1,0.046835811620876626
GRIN2A,0.04051949930897095
SPAG17,0.04569374326363617
TNN,0.03704849367966947
DNAH1,0.04455578783049024
HECTD4,0.0451707790565529
RANBP2,0.04304966732836846
DSCAML1,0.039850225033928
KDM6A,0.023136215525711733
CDH9,0.03439156709012129
MYO15A,0.04094559377640102
SCN2A,0.04658345782265751
FAM47C,0.034498473437481435
HECW1,0.04013832559556027
PDZD2,0.037779794880808494
TCHH,0.043717125751198536
AFF2,0.03688431856594115
CTNNB1,0.02305398116034678
TRPS1,0.039354058718638264
CRB1,0.041077308628333295
LAMA5,0.0381226008365835
PTPRZ1,0.04413792439812387
ZNF831,0.03819504925023234
GLI3,0.04074379110544834
POLQ,0.04525472546086519
SRRM2,0.04633845350062555
LRRIQ1,0.042647402891761645
MGAM,0.044329176474958994
EGFR,0.01997746049887716
TENM4,0.04442355028947567
ACAN,0.03697088732638574
CACNA1A,0.04023283583553006
ITPR2,0.04630416668757199
MAP2,0.04377390259013201
PKD1L1,0.04438829650246687
CELSR1,0.042953337479555716
RIMS1,0.042876769045504456
ROS1,0.043970301087094064
STAB2,0.038826616158360264
AKAP6,0.042550120931823386
CIC,0.024839828973885383
MGA,0.04091037580027676
NCKAP5,0.03813502538479643
NCOR1,0.03383972797014519
TRPA1,0.04212172486867451
VWF,0.04231065666219629
ADCY8,0.03371356031046923
COL7A1,0.04040207154094685
MYH13,0.041421279647718
MYH4,0.03478289481247185
TEX15,0.047081088263851004
LAMA3,0.0432220634949784
PCDH17,0.03960802547787137
PTPRB,0.0412202017839819
TNXB,0.0407847976370846
TSHZ3,0.041473163612289456
BOD1L1,0.04171388675983659
CPS1,0.04042324826020695
IGSF10,0.044544177517453494
MYO3A,0.04117273963257161
SCN10A,0.043028585794753035
SCN3A,0.043146162657210906
TRIO,0.04347400125723177
ATP10A,0.0395727957364958
CDH12,0.041286650984243355
GPR158,0.04450329555166275
ROBO2,0.03695127531943367
CDH23,0.04125872551859807
CHD4,0.040857413359335584
COL5A1,0.043475134994217256
ASH1L,0.043659184248180966
F8,0.04123426868617335
MYO16,0.04047615895022223
SLIT2,0.040052059070384734
ZDBF2,0.041687076225610346
ARID2,0.03415539543690765
CACNA1B,0.04286090784523987
SPEG,0.038957458695633544
SCN5A,0.04274425731697467
ZNF521,0.03548995233486071
