covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
MUT_MXRA5,0.008041286973002468,1.008073704956938,0.05898862262585405,-0.10757428887129601,0.12365686281730094,0.8980098078377196,1.1316275008983516,0.0,0.1363192869242901,0.891568877447216,0.16558183846941263
MUT_PLEC,-0.13544014331364174,0.8733314360898714,0.05875351249604064,-0.2505949117711054,-0.020285374856178068,0.7783376031074767,0.979918989160644,0.0,-2.3052263185587236,0.021153901617142704,5.562932411792125
MUT_KMT2D,0.06798926573933878,1.0703538189602162,0.05820738213370209,-0.04609510687707753,0.18207363835575507,0.9549511354514049,1.1997025347492443,0.0,1.1680522855875521,0.24278567514542798,2.042244792759667
CNV_PC3,-0.0970358799702105,0.9075234436349825,0.06422810445391698,-0.22292065149516443,0.02884889155474342,0.8001783397304447,1.029269051477377,0.0,-1.510800930453004,0.1308391775921969,2.9341334985853695
MUT_FAM135B,-0.041881326908051277,0.9589835793664151,0.05561052112583914,-0.1508759454761998,0.06711329166009725,0.8599543732726007,1.06941662729692,0.0,-0.7531187635030332,0.45137855001787763,1.1475902331101864
MUT_PKHD1,0.1051956729816043,1.1109279676773172,0.05693955284925877,-0.006403799898757903,0.21679514586196652,0.9936166607292605,1.2420896288734202,0.0,1.8474973496911422,0.06467509188133452,3.9506459912837033
MUT_NF1,0.042578932005064775,1.0434984185455873,0.057315715544103155,-0.06975780620951996,0.1549156702196495,0.9326196672477193,1.1675594969175305,0.0,0.7428840694189929,0.45755187133916886,1.1279927880333367
EXPR_PC47,0.05195119584786476,1.0533243346578403,0.059884119871925476,-0.06541952234698853,0.16932191404271804,0.9366744250858186,1.1845013851859247,0.0,0.8675287531815296,0.3856523645191988,1.3746271384879225
MUT_MUC5B,0.06654341037253768,1.068807360393811,0.05941447801302577,-0.049906826693239745,0.1829936474383151,0.951318057820748,1.2008067798574609,0.0,1.1199864510792974,0.26271953584321334,1.9284046115220013
CNV_PC23,-0.08220260281986469,0.9210853253065184,0.06033207722294759,-0.20045130128933128,0.0360460956496019,0.8183613421975758,1.0367036329169461,0.0,-1.3625024465194204,0.1730393725835457,2.5308277554748804
MUT_HERC2,-0.04916410448279067,0.9520248853272442,0.05814800898367407,-0.16313210786350335,0.06480389889792201,0.849478958151251,1.0669497738412201,0.0,-0.8454993617510487,0.397832088877371,1.3297684471793556
MUT_PCDH15,0.06783064410239964,1.0701840511501286,0.05644528357224739,-0.04280007879635561,0.1784613670011549,0.9581029160095281,1.1953767013946877,0.0,1.201706144598946,0.22947739963818214,2.1235760198341485
MUT_COL11A1,-0.04694410056824573,0.9541407320244087,0.06122488773894234,-0.16694267549408065,0.07305447435758919,0.8462481207021917,1.0757891382407614,0.0,-0.7667486589507742,0.4432309669339831,1.1738694141289086
MUT_FLG,-0.03288451386663896,0.9676503033284587,0.05704483411818798,-0.14469033424234912,0.07892130650907118,0.8652902023735439,1.0821191629850897,0.0,-0.5764678673358464,0.5642989829436887,0.8254683455238095
EXPR_PC30,0.03506063527048476,1.0356825057846226,0.0714278109454976,-0.10493530167722642,0.17505657221819593,0.9003827739571916,1.1913136099595272,0.0,0.4908541197942841,0.623529629067969,0.6814699787878182
EXPR_PC14,0.20988499078031728,1.2335361837644194,0.0641448867075424,0.08416332304113214,0.33560665851950244,1.0878065431741086,1.3987887149641336,0.0,3.2720455449122836,0.0010677237430824359,9.87124586426623
CNV_PC30,-0.06846870428352074,0.9338226842961941,0.05785800370712923,-0.18186830776687896,0.044930899199837476,0.8337111264666139,1.0459555810438974,0.0,-1.1833920961065594,0.2366537883196148,2.079150078172688
EXPR_PC39,-0.05182543762693708,0.9494945984075296,0.0604974833750279,-0.17039832619730244,0.0667474509434283,0.8433288297188211,1.0690254627079017,0.0,-0.8566544380973299,0.39163589046152814,1.3524151118195713
MUT_PCDH11X,-0.06043051947110458,0.9413591728794442,0.05597862573725013,-0.17014660982016178,0.04928557087795261,0.8435411361159538,1.0505203059148256,0.0,-1.0795284570712853,0.2803522150128312,1.8346876265619896
MUT_TP53,0.03958441105258455,1.0403783146072192,0.06524190856615361,-0.08828738001973176,0.16745620212490087,0.9154977431559792,1.1822935071075809,0.0,0.6067328795638616,0.5440281982447287,0.8782466632398612
MUT_FBN2,0.09239827533896863,1.096801564117983,0.0520888537804561,-0.009694002066698362,0.19449055274463561,0.9903528333084163,1.2146920073252552,0.0,1.7738588706215062,0.07608649741301171,3.7162157392481516
CNV_PC7,0.01695969810030628,1.0171043302625211,0.06346785025958201,-0.1074350025846556,0.14135439878526815,0.8981348970006203,1.1518327837984643,0.0,0.2672171505879199,0.7893019718717568,0.34135074144847866
MUT_SYNE2,-0.021036919398077492,0.9791828130620517,0.058074817029213154,-0.1348614691840887,0.09278763038793371,0.8738369566501905,1.0972286924915835,0.0,-0.36223823809027883,0.7171740072071178,0.479604893843566
EXPR_PC24,0.10454970397964812,1.110210574378654,0.06905591920231835,-0.03079741057620379,0.23989681853550004,0.9696719984699418,1.2711179877392202,0.0,1.5139861316354495,0.1300293569232517,2.9430907154323167
MUT_XIRP2,0.006918376786287201,1.00694236404068,0.05827604945528751,-0.10730058130735136,0.12113733487992577,0.8982556335552657,1.128779922578076,0.0,0.11871732643090963,0.9054993091201954,0.1432145544620552
MUT_KRAS,-0.0069711629934927745,0.9930530791984479,0.06584484984502853,-0.13602469725719643,0.12208237127021089,0.8728210759359276,1.1298471648935189,0.0,-0.10587256269700669,0.9156834634883043,0.1270791260165003
